Station:Vancouver International Airport #2 -  , Date Time                 , CO       , NO       , NO2      , O3       , PM25     , SO2      , PM10     , WSPD_SCLR , WDIR_SCLR , WSPD_VECT , WDIR_VECT , TEMP_MEAN , ATM_PRESS_1HR , HUMIDITY , RAD_TOTAL , PRECIP_TOTAL , NOx     
 ,                           , ppm      , ppb      , ppb      , ppb      , ug/m3    , ppb      , ug/m3    , m/s      , Deg.     , m/s      , Deg.     , °C       , kPa      , % RH     , W/M**2   , mm       , ppb     
 , 2/5/2019 24:00 AM         , 0.29     , 13.4     , 28.1     , 10.8     , 8.1      , 0.3      , 25.8     , 6.83     , 145.9    , 6.46     , 145.6    , -2.8     , 101.3    , 59.0     , 92.9     , 0.0      , 41.5    
 , 2/6/2019 24:00 AM         , 0.34     , 23.6     , 30.3     , 8.2      , 9.8      , 0.5      , 26.7     , 6.35     , 145.8    , 6.01     , 145.7    , -1.2     , 102.5    , 62.0     , 98.4     , 0.0      , 53.9    
 , 2/7/2019 24:00 AM         , 0.40     , 30.1     , 30.7     , 6.8      , 9.5      , 0.5      , 19.8     , 5.23     , 133.0    , 4.77     , 127.7    , -0.7     , 102.7    , 65.6     , 63.3     , 0.0      , 60.7    
 , 2/8/2019 24:00 AM         , 0.29     , 10.7     , 20.3     , 15.8     , 6.1      , 0.3      , 12.4     , 10.35    , 127.8    , 9.78     , 127.8    , 0.1      , 101.6    , 62.0     , 34.3     , 0.0      , 31.0    
 , 2/9/2019 24:00 AM         , 0.19     , 1.6      , 10.0     , 29.6     , 3.9      , 0.2      , 10.7     , 11.27    , 118.1    , 10.29    , 118.2    , 0.6      , 101.0    , 30.0     , 64.3     , 0.0      , 11.6    
 , 2/10/2019 24:00 AM        , 0.20     , 1.0      , 11.6     , 26.8     , 4.4      , 0.1      , 13.8     , 10.47    , 94.6     , 9.96     , 95.2     , -3.6     , 100.7    , 65.3     , 39.1     , 1.6      , 12.6    
 , 2/11/2019 24:00 AM        , 0.25     , 4.8      , 22.9     , 16.8     , 6.0      , 0.2      , 9.7      , 7.14     , 143.5    , 6.49     , 144.3    , -3.5     , 100.7    , 81.8     , 47.4     , 2.6      , 27.7    
 , 2/12/2019 24:00 AM        , 0.26     , 4.7      , 24.1     , 12.9     , 7.3      , 0.1      , 8.3      , 5.64     , 118.2    , 5.06     , 122.3    , -1.6     , 100.5    , 97.8     , 6.6      , 7.8      , 28.8    
 , 2/13/2019 24:00 AM        , 0.40     , 25.7     , 29.7     , 6.8      , 11.5     , 0.4      , 11.9     , 4.23     , 140.5    , 3.93     , 134.7    , -1.0     , 100.4    , 91.9     , 22.0     , 1.6      , 55.4    
 , 2/14/2019 24:00 AM        , 0.55     , 52.7     , 35.8     , 6.6      , 9.4      , 0.6      , 11.0     , 5.37     , 150.2    , 4.73     , 150.2    , -0.7     , 99.2     , 89.6     , 39.6     , 9.0      , 88.5    
 , 2/15/2019 24:00 AM        , 0.32     , 8.8      , 27.8     , 9.8      , 7.0      , 0.2      , 8.1      , 8.06     , 74.3     , 7.74     , 74.2     , 2.8      , 100.1    , 97.2     , 19.2     , 8.6      , 36.6    
 , 2/16/2019 24:00 AM        , 0.29     , 12.4     , 19.9     , 11.9     , 5.5      , 0.4      , 8.0      , 8.40     , 167.1    , 7.95     , 167.4    , 3.6      , 101.0    , 92.4     , 75.0     , 0.0      , 32.3    
 , 2/17/2019 24:00 AM        , 0.35     , 19.8     , 16.4     , 12.7     , 7.1      , 0.3      , 8.5      , 7.53     , 183.5    , 6.92     , 182.9    , 3.4      , 102.2    , 85.0     , 121.0    , 0.0      , 36.2    
 , 2/18/2019 24:00 AM        , 0.29     , 5.7      , 21.3     , 11.2     , 7.9      , 0.2      , 15.3     , 6.70     , 102.3    , 6.36     , 102.9    , 1.9      , 102.8    , 59.9     , 46.5     , 0.0      , 27.0    
 , 2/19/2019 24:00 AM        , 0.38     , 15.0     , 27.0     , 3.5      , 12.4     , 0.2      , 14.0     , 6.17     , 103.4    , 5.75     , 104.8    , 1.7      , 101.8    , 91.3     , 25.7     , 4.0      , 42.0    
 , 2/20/2019 24:00 AM        , 0.33     , 18.8     , 19.7     , 8.8      , 5.3      , 0.2      , 7.5      , 8.11     , 150.3    , 7.49     , 150.1    , 3.0      , 101.3    , 85.5     , 116.6    , 0.0      , 38.5    
