Station:Vancouver International Airport #2 -  , Date Time                 , CO       , NO       , NO2      , O3       , PM25     , SO2      , PM10     , WSPD_SCLR , WDIR_SCLR , WSPD_VECT , WDIR_VECT , TEMP_MEAN , ATM_PRESS_1HR , HUMIDITY , RAD_TOTAL , PRECIP_TOTAL , NOx     
 ,                           , ppm      , ppb      , ppb      , ppb      , ug/m3    , ppb      , ug/m3    , m/s      , Deg.     , m/s      , Deg.     , °C       , kPa      , % RH     , W/M**2   , mm       , ppb     
 , 2/5/2015 24:00 AM         , 0.17     , 1.2      , 11.6     , 17.9     , 1.7      , 0.2      , 4.5      , 15.85    , 117.0    , 15.40    , 117.5    , 10.3     , 99.2     , 93.9     , 26.1     , 27.4     , 12.9    
 , 2/6/2015 24:00 AM         , 0.15     , 0.5      , 6.4      , 27.5     , 1.0      , 0.0      , 6.3      , 19.99    , 145.2    , 19.53    , 145.7    , 12.1     , 98.6     , 89.0     , 19.3     , 10.6     , 6.9     
 , 2/7/2015 24:00 AM         , 0.17     , 0.6      , 8.3      , 27.2     , 1.3      , 0.1      , 7.0      , 13.45    , 121.9    , 13.07    , 122.7    , 10.7     , 99.4     , 91.4     , 17.3     , 8.2      , 8.9     
 , 2/8/2015 24:00 AM         , 0.18     , 0.7      , 8.5      , 28.3     , 1.8      , 0.3      , 5.6      , 11.62    , 120.9    , 10.94    , 119.4    , 11.3     , 100.4    , 80.9     , 51.8     , 1.4      , 9.2     
 , 2/9/2015 24:00 AM         , 0.25     , 4.8      , 19.3     , 10.8     , 3.1      , 0.5      , 7.6      , 5.95     , 113.9    , 5.31     , 113.5    , 9.8      , 100.2    , 95.1     , 24.6     , 17.8     , 24.1    
 , 2/10/2015 24:00 AM        , 0.25     , 3.9      , 17.9     , 9.8      , 3.9      , 0.3      , 7.4      , 7.18     , 115.8    , 6.89     , 116.3    , 10.2     , 101.7    , 93.7     , 38.1     , 7.4      , 21.8    
 , 2/11/2015 24:00 AM        , 0.45     , 40.7     , 24.4     , 1.9      , 7.2      , 0.9      , 13.8     , 5.27     , 180.7    , 4.12     , 179.4    , 9.3      , 101.7    , 89.3     , 37.0     , 0.0      , 65.1    
 , 2/12/2015 24:00 AM        , 0.36     , 30.5     , 20.1     , 6.3      , 4.9      , 0.6      , 11.1     , 6.34     , 102.3    , 5.56     , 99.7     , 9.9      , 101.8    , 92.8     , 16.4     , 7.4      , 50.6    
 , 2/13/2015 24:00 AM        , 0.28     , 17.8     , 20.5     , 6.1      , 3.4      , 1.1      , 7.9      , 7.30     , 228.3    , 6.43     , 228.1    , 10.4     , 101.6    , 91.1     , 40.9     , 3.2      , 38.4    
 , 2/14/2015 24:00 AM        , 0.22     , 8.8      , 12.5     , 16.5     , 4.3      , 0.6      , 7.8      , 10.72    , 292.1    , 10.20    , 293.0    , 8.5      , 102.2    , 92.1     , 64.9     , 0.0      , 21.3    
 , 2/15/2015 24:00 AM        , 0.25     , 11.6     , 12.4     , 9.0      , 5.0      , 0.5      , 6.9      , 9.53     , 257.9    , 8.93     , 255.6    , 7.2      , 102.5    , 91.6     , 114.4    , 0.0      , 24.0    
 , 2/16/2015 24:00 AM        , 0.40     , 37.8     , 16.6     , 5.3      , 6.1      , 0.9      , 10.1     , 8.00     , 245.1    , 7.28     , 242.8    , 6.4      , 102.2    , 89.3     , 86.2     , 0.0      , 54.4    
 , 2/17/2015 24:00 AM        , 0.52     , 55.1     , 21.6     , 6.2      , 8.8      , 1.3      , 12.7     , 6.28     , 233.4    , 5.34     , 218.5    , 6.1      , 101.7    , 85.1     , 123.1    , 0.0      , 76.7    
 , 2/18/2015 24:00 AM        , 0.45     , 43.9     , 24.8     , 4.5      , 15.7     , 1.0      , 20.4     , 7.84     , 94.9     , 7.25     , 96.4     , 8.4      , 101.6    , 76.9     , 80.2     , 0.0      , 68.7    
 , 2/19/2015 24:00 AM        , 0.26     , 11.5     , 19.0     , 8.0      , 7.8      , 0.4      , 11.6     , 6.88     , 147.7    , 6.57     , 148.3    , 9.1      , 101.8    , 89.5     , 48.4     , 0.0      , 30.5    
 , 2/20/2015 24:00 AM        , 0.22     , 5.0      , 13.1     , 17.3     , 4.8      , 0.5      , 7.5      , 11.98    , 278.6    , 11.32    , 278.5    , 7.8      , 101.9    , 86.9     , 99.3     , 0.0      , 18.1    
 , 2/21/2015 24:00 AM        , 0.30     , 15.7     , 15.7     , 8.7      , 5.7      , 0.9      , 9.1      , 9.13     , 246.3    , 8.62     , 246.2    , 6.8      , 102.3    , 82.0     , 133.0    , 0.0      , 31.4    
 , 2/22/2015 24:00 AM        , 0.34     , 21.5     , 19.3     , 7.2      , 6.9      , 1.0      , 9.5      , 6.36     , 181.3    , 5.38     , 181.3    , 5.7      , 102.5    , 79.0     , 86.8     , 0.0      , 40.8    
 , 2/23/2015 24:00 AM        , 0.54     , 58.3     , 23.5     , 5.2      , 12.1     , 1.3      , 16.0     , 4.53     , 187.1    , 3.99     , 172.9    , 5.8      , 102.4    , 78.3     , 132.0    , 0.0      , 81.8    
 , 2/24/2015 24:00 AM        , 0.53     , 60.4     , 24.8     , 3.4      , 17.3     , 1.3      , 22.5     , 6.00     , 132.1    , 5.46     , 133.4    , 6.2      , 102.2    , 82.7     , 106.6    , 0.0      , 85.2    
 , 2/25/2015 24:00 AM        , 0.43     , 38.1     , 23.7     , 2.1      , 15.5     , 1.0      , 19.4     , 5.14     , 98.6     , 4.66     , 99.4     , 6.8      , 102.2    , 87.0     , 32.5     , 1.0      , 61.8    
 , 2/26/2015 24:00 AM        , 0.28     , 10.8     , 18.2     , 4.9      , 8.8      , 0.5      , 8.0      , 6.16     , 97.3     , 5.79     , 97.2     , 7.6      , 101.3    , 86.4     , 43.9     , 0.6      , 29.0    
 , 2/27/2015 24:00 AM        , 0.29     , 11.6     , 17.5     , 8.6      , 4.4      , 0.5      , 6.6      , 10.08    , 240.8    , 9.56     , 254.9    , 7.6      , 100.5    , 81.7     , 86.7     , 1.4      , 29.2    
 , 2/28/2015 24:00 AM        , 0.29     , 13.3     , 23.4     , 17.6     , 5.7      , 0.7      , 9.3      , 6.66     , 194.1    , 5.73     , 193.6    , 6.7      , 101.7    , 44.8     , 149.5    , 0.0      , 36.6    
 , 3/1/2015 24:00 AM         , 0.34     , 16.3     , 19.0     , 13.9     , 10.4     , 0.6      , 11.9     , 6.83     , 190.3    , 6.31     , 189.1    , 4.9      , 101.5    , 73.1     , 71.3     , 1.4      , 35.2    
 , 3/2/2015 24:00 AM         , 0.27     , 7.2      , 16.7     , 14.9     , 6.1      , 0.3      , 9.8      , 12.44    , 261.1    , 11.62    , 260.9    , 5.8      , 101.3    , 79.5     , 151.5    , 0.0      , 23.9    
 , 3/3/2015 24:00 AM         , 0.27     , 10.1     , 25.1     , 20.4     , 4.0      , 0.5      , 9.8      , 7.43     , 171.0    , 6.92     , 170.8    , 5.4      , 101.9    , 37.7     , 155.8    , 0.0      , 35.2    
 , 3/4/2015 24:00 AM         , 0.42     , 32.3     , 29.8     , 11.4     , 8.7      , 0.8      , 17.0     , 6.60     , 135.0    , 6.26     , 134.5    , 5.1      , 102.0    , 54.9     , 142.8    , 0.0      , 62.1    
 , 3/5/2015 24:00 AM         , 0.44     , 34.9     , 30.1     , 8.0      , 11.0     , 1.2      , 18.3     , 5.32     , 193.7    , 4.60     , 193.2    , 6.4      , 102.2    , 63.1     , 128.2    , 0.0      , 65.0    
 , 3/6/2015 24:00 AM         , 0.39     , 30.6     , 23.2     , 8.8      , 10.5     , 1.0      , 15.9     , 7.57     , 269.7    , 6.96     , 267.4    , 7.2      , 102.4    , 80.4     , 124.7    , 0.0      , 53.8    
 , 3/7/2015 24:00 AM         , 0.46     , 47.1     , 20.9     , 6.4      , 11.8     , 0.8      , 13.9     , 6.05     , 162.2    , 5.34     , 176.1    , 7.4      , 102.1    , 87.0     , 157.1    , 0.0      , 68.0    
 , 3/8/2015 24:00 AM         , 0.40     , 34.2     , 17.7     , 7.4      , 9.3      , 0.7      , 11.3     , 6.41     , 223.6    , 5.88     , 221.0    , 6.5      , 101.7    , 93.0     , 148.2    , 0.0      , 51.9    
 , 3/9/2015 24:00 AM         , 0.32     , 20.9     , 18.5     , 6.0      , 8.4      , 0.4      , 9.8      , 6.18     , 186.7    , 5.71     , 188.1    , 5.9      , 101.3    , 95.5     , 102.2    , 0.0      , 39.4    
 , 3/10/2015 24:00 AM        , 0.29     , 11.1     , 17.6     , 7.6      , 9.5      , 0.4      , 8.9      , 7.75     , 230.9    , 6.88     , 234.1    , 6.0      , 100.6    , 97.3     , 79.9     , 0.0      , 28.7    
 , 3/11/2015 24:00 AM        , 0.23     , 4.1      , 14.2     , 20.0     ,          , 0.3      , 11.4     , 13.25    , 108.8    , 12.83    , 109.3    , 11.4     , 100.7    , 84.1     , 34.9     , 8.2      , 18.2    
 , 3/12/2015 24:00 AM        , 0.21     , 1.9      , 12.4     , 22.1     , 4.1      , 0.2      , 9.9      , 10.09    , 114.2    , 9.69     , 114.6    , 12.7     , 102.1    , 80.5     , 123.1    , 0.0      , 14.3    
 , 3/13/2015 24:00 AM        , 0.31     , 17.5     , 21.8     , 7.6      , 3.9      , 0.9      , 9.9      , 6.90     , 215.2    , 5.75     , 211.4    , 11.1     , 101.3    , 81.8     , 109.3    , 2.4      , 39.3    
 , 3/14/2015 24:00 AM        , 0.19     , 2.2      , 10.5     , 26.0     , 3.5      , 0.3      , 8.1      , 15.26    , 179.9    , 14.66    , 179.7    , 11.1     , 100.4    , 82.0     , 108.1    , 13.2     , 12.8    
 , 3/15/2015 24:00 AM        , 0.22     , 3.3      , 10.3     , 16.2     , 2.0      , 0.3      , 8.6      , 11.03    , 263.6    , 10.30    , 276.8    , 7.8      , 100.5    , 88.7     , 22.9     , 11.6     , 13.6    
 , 3/16/2015 24:00 AM        , 0.30     , 13.5     , 19.7     , 13.8     , 5.6      , 0.6      , 9.6      , 8.11     , 191.6    , 7.34     , 195.4    , 7.8      , 101.7    , 77.7     , 161.1    , 0.0      , 33.2    
 , 3/17/2015 24:00 AM        , 0.37     , 35.8     , 21.8     , 10.4     , 6.8      , 1.2      , 14.3     , 6.29     , 189.7    , 5.60     , 189.1    , 8.7      , 101.4    , 72.4     , 135.2    , 0.0      , 57.7    
 , 3/18/2015 24:00 AM        , 0.25     , 5.3      , 16.6     , 18.2     , 7.3      , 0.6      , 12.3     , 8.80     , 108.3    , 8.44     , 108.8    , 10.7     , 101.9    , 69.2     , 134.4    , 0.0      , 21.9    
 , 3/19/2015 24:00 AM        , 0.28     , 4.1      , 24.2     , 11.4     , 5.8      , 0.3      , 9.2      , 7.33     , 84.3     , 7.01     , 84.2     , 9.9      , 101.3    , 87.9     , 27.0     , 13.0     , 28.3    
 , 3/20/2015 24:00 AM        , 0.25     , 4.7      , 18.0     , 19.1     , 3.4      , 0.4      , 7.7      , 12.11    , 99.2     , 11.65    , 99.6     , 10.1     , 100.6    , 90.6     , 32.6     , 24.2     , 22.6    
 , 3/21/2015 24:00 AM        , 0.20     , 0.8      , 8.5      , 27.8     , 2.5      , 0.3      , 8.6      , 9.92     , 162.7    , 9.45     , 163.8    , 9.9      , 101.0    , 84.4     , 109.0    , 2.8      , 9.4     
 , 3/22/2015 24:00 AM        , 0.22     , 1.6      , 12.5     , 21.0     , 3.7      , 0.3      , 7.0      , 8.84     , 105.6    , 8.08     , 107.6    , 8.7      , 100.9    , 85.1     , 69.8     , 4.4      , 14.1    
 , 3/23/2015 24:00 AM        , 0.26     , 6.4      , 18.2     , 17.6     , 5.6      , 0.5      , 8.5      , 8.19     , 108.9    , 7.63     , 108.9    , 8.1      , 100.8    , 89.1     , 72.0     , 5.6      , 24.6    
 , 3/24/2015 24:00 AM        , 0.22     , 3.7      , 12.0     , 24.1     , 3.3      , 0.3      , 6.7      , 8.32     , 158.3    , 7.57     , 156.8    , 8.9      , 101.4    , 79.1     , 149.9    , 0.8      , 15.8    
 , 3/25/2015 24:00 AM        , 0.25     , 1.6      , 18.0     , 18.4     , 3.5      , 0.2      , 6.3      , 11.06    , 81.3     , 10.64    , 81.3     , 8.9      , 101.7    , 94.9     , 26.8     , 27.0     , 19.6    
 , 3/26/2015 24:00 AM        , 0.25     , 8.0      , 20.2     , 11.7     , 3.5      , 0.5      , 11.0     , 7.18     , 122.5    , 6.51     , 123.1    , 13.5     , 101.8    , 84.6     , 119.1    , 0.2      , 28.1    
 , 3/27/2015 24:00 AM        , 0.25     , 16.9     , 12.6     , 12.6     , 4.2      , 0.5      , 12.5     , 9.28     , 128.1    , 8.54     , 130.2    , 12.6     , 100.9    , 81.8     , 96.5     , 2.2      , 29.5    
 , 3/28/2015 24:00 AM        , 0.18     , 1.1      , 7.6      , 34.9     , 1.6      , 0.2      , 7.8      , 13.02    , 187.8    , 12.42    , 187.4    , 11.1     , 101.7    , 76.7     , 114.5    , 4.2      , 8.7     
 , 3/29/2015 24:00 AM        , 0.23     , 1.1      , 13.5     , 22.1     , 3.1      , 0.2      , 6.3      , 10.43    , 82.1     , 10.02    , 82.1     , 9.1      , 101.6    , 93.9     , 31.1     , 19.8     , 14.6    
 , 3/30/2015 24:00 AM        , 0.20     , 2.0      , 12.2     , 23.7     , 2.7      , 0.4      , 8.4      , 12.24    , 112.5    , 11.46    , 113.8    , 12.8     , 100.8    , 79.5     , 150.0    , 0.6      , 14.3    
 , 3/31/2015 24:00 AM        , 0.17     , 3.0      , 8.8      , 38.5     , 2.1      , 0.4      , 7.1      , 17.59    , 252.4    , 17.01    , 267.1    , 9.0      , 101.1    , 69.8     , 192.4    , 2.6      , 11.8    
 , 4/1/2015 24:00 AM         , 0.22     , 8.0      , 10.5     , 27.4     , 3.2      , 0.4      , 7.3      , 11.80    , 239.2    , 11.21    , 239.4    , 8.3      , 101.9    , 75.1     , 226.1    , 0.0      , 18.5    
 , 4/2/2015 24:00 AM         , 0.25     , 7.9      , 15.4     , 18.2     , 6.3      , 0.3      , 10.5     , 7.54     , 135.4    , 6.87     , 135.3    , 8.7      , 102.2    , 73.0     , 158.6    , 0.0      , 23.2    
 , 4/3/2015 24:00 AM         , 0.20     , 1.4      , 10.0     , 24.9     , 5.6      , 0.3      , 8.3      , 12.16    , 146.9    , 11.67    , 147.2    , 8.4      , 101.5    , 73.6     , 78.1     , 0.8      , 11.3    
 , 4/4/2015 24:00 AM         , 0.22     , 1.5      , 10.8     , 28.5     , 6.2      , 0.8      , 8.8      , 9.24     , 122.7    , 8.57     , 122.4    , 7.9      , 101.2    , 73.4     , 169.1    , 0.0      , 12.3    
 , 4/5/2015 24:00 AM         , 0.25     , 3.7      , 12.8     , 23.7     , 4.8      , 0.7      , 8.2      , 9.48     , 247.6    , 8.74     , 247.7    , 8.0      , 100.3    , 71.4     , 223.3    , 0.0      , 16.5    
 , 4/6/2015 24:00 AM         , 0.27     , 5.9      , 15.0     , 21.2     , 7.3      , 0.6      , 12.3     , 8.93     , 140.9    , 8.47     , 141.2    , 9.0      , 100.3    , 70.3     , 208.6    , 0.0      , 20.9    
 , 4/7/2015 24:00 AM         , 0.27     , 13.9     , 16.1     , 17.1     , 5.2      , 0.6      , 16.0     , 7.92     , 189.2    , 7.33     , 188.5    , 9.4      , 100.6    , 72.2     , 229.3    , 0.0      , 30.0    
 , 4/8/2015 24:00 AM         , 0.30     , 14.3     , 20.5     , 14.7     , 7.5      , 0.8      , 15.1     , 7.50     , 174.0    , 6.98     , 173.8    , 10.2     , 101.2    , 69.4     , 233.8    , 0.0      , 34.7    
 , 4/9/2015 24:00 AM         , 0.23     , 4.4      , 17.4     , 22.5     , 6.1      , 0.5      , 13.1     , 9.60     , 147.0    , 9.17     , 147.8    , 11.3     , 101.3    , 62.7     , 241.0    , 0.0      , 21.8    
 , 4/10/2015 24:00 AM        ,          , 2.3      , 12.5     , 25.7     , 4.6      , 0.4      , 10.3     , 13.86    , 140.2    , 13.29    , 140.2    , 10.0     , 100.3    , 71.5     , 70.8     , 1.4      , 14.8    
 , 4/11/2015 24:00 AM        , 0.16     , 2.3      , 3.3      , 38.7     , 2.7      , 0.3      , 6.1      , 17.47    , 225.3    , 17.05    , 225.8    , 8.2      , 100.6    , 63.8     , 195.8    , 0.0      , 5.6     
 , 4/12/2015 24:00 AM        , 0.17     , 0.7      , 5.3      , 35.3     , 4.6      , 0.4      , 6.9      , 11.36    , 161.1    , 10.57    , 161.9    , 8.0      , 101.5    , 66.6     , 156.1    , 0.4      , 6.0     
 , 4/13/2015 24:00 AM        , 0.27     , 5.2      , 17.2     , 20.7     , 5.6      , 0.3      , 7.7      , 7.91     , 126.3    , 7.15     , 127.1    , 7.3      , 100.6    , 83.9     , 45.9     , 3.8      , 22.3    
 , 4/14/2015 24:00 AM        , 0.21     , 2.6      , 8.0      , 36.9     , 4.0      , 0.5      , 9.2      , 21.79    , 261.9    , 21.14    , 261.9    , 8.2      , 101.8    , 67.4     , 258.0    , 0.2      , 10.6    
 , 4/15/2015 24:00 AM        , 0.23     , 5.0      , 16.8     , 21.9     , 4.4      , 0.3      , 9.8      , 7.38     , 135.3    , 6.57     , 135.6    , 9.0      , 102.7    , 66.2     , 183.5    , 0.0      , 21.8    
 , 4/16/2015 24:00 AM        , 0.25     , 9.5      , 20.0     , 18.0     , 8.2      , 0.7      , 12.1     , 7.62     , 202.2    , 7.10     , 201.0    , 10.3     , 102.2    , 68.5     , 253.3    , 0.0      , 29.5    
