Station:Vancouver International Airport #2 -  , Date Time                 , CO       , NO       , NO2      , O3       , PM25     , SO2      , PM10     , WSPD_SCLR , WDIR_SCLR , WSPD_VECT , WDIR_VECT , TEMP_MEAN , ATM_PRESS_1HR , HUMIDITY , RAD_TOTAL , PRECIP_TOTAL , NOx     
 ,                           , ppm      , ppb      , ppb      , ppb      , ug/m3    , ppb      , ug/m3    , m/s      , Deg.     , m/s      , Deg.     , °C       , kPa      , % RH     , W/M**2   , mm       , ppb     
 , 2/5/1998 24:00 AM         , 0.73     , 21.7     , 26.3     , 5.6      ,          ,          , 9.5      ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         
 , 2/6/1998 24:00 AM         , 0.93     , 51.7     , 32.7     , 3.3      ,          ,          , 14.9     ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         
 , 2/7/1998 24:00 AM         , 0.48     , 10.6     , 19.0     , 19.3     ,          ,          , 12.3     ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         
 , 2/8/1998 24:00 AM         , 0.53     , 14.2     , 19.1     , 15.0     ,          ,          , 10.3     ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         
 , 2/9/1998 24:00 AM         , 0.75     , 31.6     , 22.8     , 16.9     ,          ,          , 12.7     ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         
 , 2/10/1998 24:00 AM        , 0.52     , 7.1      , 26.7     , 12.7     ,          ,          , 10.3     ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         
 , 2/11/1998 24:00 AM        , 0.53     , 11.5     , 24.4     , 10.5     ,          ,          , 8.4      ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         
 , 2/12/1998 24:00 AM        , 0.52     , 5.7      , 19.8     , 20.3     ,          ,          , 7.2      ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         
 , 2/13/1998 24:00 AM        , 0.47     , 5.5      , 17.7     , 21.1     ,          ,          , 10.4     ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         
 , 2/14/1998 24:00 AM        , 0.61     , 13.2     , 25.3     , 11.6     ,          ,          , 8.3      ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         
 , 2/15/1998 24:00 AM        , 0.51     , 6.9      , 19.5     , 13.9     ,          ,          , 9.0      ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         
 , 2/16/1998 24:00 AM        , 0.66     , 17.2     , 28.0     , 9.9      ,          ,          , 14.4     ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         
 , 2/17/1998 24:00 AM        ,          ,          ,          ,          ,          ,          , 11.2     ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         
 , 2/18/1998 24:00 AM        ,          ,          ,          ,          ,          ,          , 6.3      ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         
 , 2/19/1998 24:00 AM        ,          ,          ,          ,          ,          ,          , 10.9     ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         
 , 2/20/1998 24:00 AM        ,          ,          ,          ,          ,          ,          , 6.7      ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         
 , 2/21/1998 24:00 AM        ,          ,          ,          ,          ,          ,          , 5.9      ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         
 , 2/22/1998 24:00 AM        ,          ,          ,          ,          ,          ,          , 6.8      ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         
 , 2/23/1998 24:00 AM        ,          ,          ,          ,          ,          ,          , 9.5      ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         
 , 2/24/1998 24:00 AM        , 0.83     , 52.2     , 28.3     , 8.1      ,          ,          , 14.9     ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         
 , 2/25/1998 24:00 AM        , 0.43     , 6.5      , 19.1     , 20.3     ,          ,          , 8.1      ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         
 , 2/26/1998 24:00 AM        , 0.74     , 43.5     , 27.7     , 7.9      ,          ,          , 13.5     ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         
 , 2/27/1998 24:00 AM        , 0.71     , 34.0     , 29.1     , 8.4      ,          ,          , 13.5     ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         
 , 2/28/1998 24:00 AM        , 0.57     , 10.3     , 28.2     , 8.9      ,          ,          , 8.1      ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         
 , 3/1/1998 24:00 AM         , 0.46     , 4.6      , 22.7     , 12.6     ,          ,          , 5.6      ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         
 , 3/2/1998 24:00 AM         , 0.53     , 17.1     , 18.6     , 17.7     ,          ,          , 7.4      ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         
 , 3/3/1998 24:00 AM         , 0.65     , 21.8     , 29.1     , 9.8      ,          ,          , 10.5     ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         
 , 3/4/1998 24:00 AM         , 0.66     , 35.5     , 27.1     , 8.5      ,          ,          , 11.8     ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         
 , 3/5/1998 24:00 AM         , 0.82     , 52.8     , 27.3     , 9.1      ,          ,          , 13.7     ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         
 , 3/6/1998 24:00 AM         , 0.89     , 50.9     , 28.4     , 11.0     ,          ,          , 18.0     ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         
 , 3/7/1998 24:00 AM         , 0.70     , 27.4     , 29.0     , 9.2      ,          ,          , 18.0     ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         
 , 3/8/1998 24:00 AM         , 0.57     , 8.2      , 24.3     , 14.6     ,          ,          , 10.6     ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         
 , 3/9/1998 24:00 AM         , 0.43     , 4.0      , 17.9     , 19.7     ,          ,          , 7.5      ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         
 , 3/10/1998 24:00 AM        , 0.58     , 10.0     , 28.9     , 9.3      ,          ,          , 8.9      ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         
