Station:Vancouver International Airport #2 -  , Date Time                 , CO       , NO       , NO2      , O3       , PM25     , SO2      , PM10     , WSPD_SCLR , WDIR_SCLR , WSPD_VECT , WDIR_VECT , TEMP_MEAN , ATM_PRESS_1HR , HUMIDITY , RAD_TOTAL , PRECIP_TOTAL , NOx     
 ,                           , ppm      , ppb      , ppb      , ppb      , ug/m3    , ppb      , ug/m3    , m/s      , Deg.     , m/s      , Deg.     , °C       , kPa      , % RH     , W/M**2   , mm       , ppb     
 , 2/5/2021 24:00 AM         , 0.23     , 6.7      , 13.5     , 15.9     , 2.6      , 0.4      , 7.5      , 3.10     , 191.2    , 2.94     , 190.1    , 6.4      , 101.5    , 87.0     , 73.4     , 0.6      , 20.2    
 , 2/6/2021 24:00 AM         , 0.21     , 5.6      , 11.6     , 22.4     , 4.0      , 0.2      , 7.0      , 5.63     , 172.0    , 5.52     , 171.7    , 6.4      , 100.8    , 83.7     , 75.9     , 1.6      , 17.2    
 , 2/7/2021 24:00 AM         , 0.16     , 0.5      , 4.3      , 33.8     , 1.9      , 0.1      , 5.4      , 6.31     , 284.9    , 6.17     , 283.6    , 5.5      , 100.8    , 67.0     , 90.9     , 0.0      , 4.8     
 , 2/8/2021 24:00 AM         , 0.27     , 15.9     , 20.2     , 12.2     , 6.3      , 0.3      , 8.0      , 2.04     , 95.1     , 1.86     , 96.2     , 1.1      , 101.2    , 74.3     , 66.7     , 0.0      , 36.1    
 , 2/9/2021 24:00 AM         , 0.22     , 4.9      , 18.5     , 17.2     , 5.9      , 0.2      , 14.0     , 1.82     , 149.0    , 1.73     , 149.5    , -0.6     , 101.6    , 57.7     , 93.4     , 0.0      , 23.5    
 , 2/10/2021 24:00 AM        , 0.21     , 2.0      , 16.5     , 18.2     , 5.1      , 0.2      , 13.7     , 3.13     , 105.0    , 3.02     , 105.2    , -1.3     , 101.6    , 54.9     , 33.4     , 0.0      , 18.5    
 , 2/11/2021 24:00 AM        , 0.16     , 0.7      , 10.2     , 30.1     , 3.1      , 0.3      , 10.9     , 2.93     , 129.9    , 2.70     , 132.5    , -1.6     , 101.5    , 35.9     , 60.2     , 0.0      , 10.9    
 , 2/12/2021 24:00 AM        , 0.19     , 1.7      , 14.6     , 26.8     , 2.6      , 0.3      , 13.6     , 2.59     , 141.5    , 2.43     , 142.2    , -2.2     , 101.1    , 31.9     , 58.5     , 0.0      , 16.4    
 , 2/13/2021 24:00 AM        , 0.20     , 1.1      , 12.0     , 29.0     , 4.3      , 0.1      , 11.3     , 2.00     , 106.7    , 1.92     , 107.0    , -1.2     , 100.4    , 83.9     , 50.8     , 5.8      , 13.1    
