Station:Vancouver International Airport #2 -  , Date Time                 , CO       , NO       , NO2      , O3       , PM25     , SO2      , PM10     , WSPD_SCLR , WDIR_SCLR , WSPD_VECT , WDIR_VECT , TEMP_MEAN , ATM_PRESS_1HR , HUMIDITY , RAD_TOTAL , PRECIP_TOTAL , NOx     
 ,                           , ppm      , ppb      , ppb      , ppb      , ug/m3    , ppb      , ug/m3    , m/s      , Deg.     , m/s      , Deg.     , °C       , kPa      , % RH     , W/M**2   , mm       , ppb     
 , 2/5/2013 24:00 AM         , 0.20     , 1.2      , 10.4     , 22.2     ,          , 0.2      , 7.9      , 15.07    , 133.5    , 14.53    , 134.7    , 7.3      , 100.1    , 86.4     , 26.1     , 5.0      , 11.6    
 , 2/6/2013 24:00 AM         , 0.17     , 1.1      , 9.0      , 30.3     ,          , 0.2      , 6.2      , 16.70    , 128.4    , 16.24    , 128.8    , 7.0      , 100.4    , 83.6     , 20.6     , 3.6      , 10.1    
 , 2/7/2013 24:00 AM         , 0.27     , 3.9      , 12.2     , 28.3     ,          , 0.4      , 10.6     , 12.11    , 131.3    , 11.39    , 131.7    , 6.7      , 100.7    , 73.1     , 89.5     , 0.0      , 16.1    
 , 2/8/2013 24:00 AM         , 0.37     , 28.1     , 23.9     , 8.2      ,          , 1.3      , 12.0     , 4.50     , 141.0    , 3.86     , 140.2    , 3.9      , 101.7    , 84.5     , 59.5     , 0.0      , 52.0    
 , 2/9/2013 24:00 AM         , 0.33     , 9.9      , 22.2     , 5.3      ,          , 0.7      , 12.6     , 4.89     , 187.0    , 4.54     , 179.7    , 4.8      , 101.7    , 87.1     , 33.0     , 0.0      , 32.1    
 , 2/10/2013 24:00 AM        , 0.40     , 28.5     , 19.2     , 5.6      ,          , 0.9      , 10.7     , 5.08     , 144.7    , 4.66     , 146.3    , 3.8      , 102.0    , 87.8     , 83.2     , 0.0      , 47.6    
 , 2/11/2013 24:00 AM        , 0.32     , 8.7      , 20.2     , 3.1      ,          , 0.8      , 10.7     , 6.11     , 75.9     , 5.83     , 76.6     , 5.2      , 101.8    , 95.5     , 21.6     , 0.0      , 28.9    
 , 2/12/2013 24:00 AM        , 0.26     , 7.2      , 16.6     , 11.0     ,          , 0.6      , 7.1      , 8.84     , 120.3    , 8.19     , 120.9    , 7.1      , 101.8    , 90.3     , 23.3     , 0.2      , 23.8    
 , 2/13/2013 24:00 AM        , 0.29     , 13.1     , 19.9     , 17.1     ,          , 1.2      , 10.8     , 7.82     , 216.9    , 6.95     , 215.8    , 6.9      , 102.0    , 81.5     , 71.7     , 0.0      , 33.0    
 , 2/14/2013 24:00 AM        , 0.30     ,          ,          ,          ,          , 0.4      , 11.9     , 6.31     , 96.0     , 6.02     , 96.3     , 6.1      , 102.6    , 91.7     , 26.1     , 1.8      ,         
 , 2/15/2013 24:00 AM        , 0.35     ,          ,          ,          ,          , 1.2      , 7.6      , 7.06     , 202.7    , 6.46     , 211.0    , 6.4      , 102.2    , 89.6     , 103.2    , 0.0      ,         
 , 2/16/2013 24:00 AM        , 0.24     , 10.4     , 12.3     , 19.1     ,          , 0.7      , 8.4      , 11.37    , 194.7    , 10.67    , 195.6    , 7.3      , 101.1    , 84.4     , 84.8     , 2.2      , 22.7    
 , 2/17/2013 24:00 AM        , 0.20     , 1.0      , 7.2      , 29.6     ,          , 0.4      , 7.4      , 11.40    , 229.6    , 10.86    , 230.5    , 5.9      , 101.4    , 75.2     , 87.3     , 0.0      , 8.2     
 , 2/18/2013 24:00 AM        , 0.25     , 2.9      , 18.7     , 13.7     ,          , 0.3      , 7.4      , 8.69     , 87.0     , 8.15     , 87.2     , 4.7      , 100.5    , 84.1     , 30.5     , 1.8      , 21.6    
 , 2/19/2013 24:00 AM        , 0.24     , 5.7      , 15.6     , 18.7     , 3.4      , 0.4      , 8.7      , 9.52     , 182.9    , 9.03     , 182.8    , 5.0      , 100.3    , 80.0     , 107.5    , 0.2      , 21.3    
