Station:Vancouver International Airport #2 -  , Date Time                 , CO       , NO       , NO2      , O3       , PM25     , SO2      , PM10     , WSPD_SCLR , WDIR_SCLR , WSPD_VECT , WDIR_VECT , TEMP_MEAN , ATM_PRESS_1HR , HUMIDITY , RAD_TOTAL , PRECIP_TOTAL , NOx     
 ,                           , ppm      , ppb      , ppb      , ppb      , ug/m3    , ppb      , ug/m3    , m/s      , Deg.     , m/s      , Deg.     , °C       , kPa      , % RH     , W/M**2   , mm       , ppb     
 , 2/5/1999 24:00 AM         , 0.48     , 1.6      , 10.6     , 27.9     ,          ,          , 7.4      ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         
 , 2/6/1999 24:00 AM         , 0.56     , 2.0      , 16.1     , 24.6     ,          ,          , 5.5      ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         
 , 2/7/1999 24:00 AM         , 0.40     , 1.3      , 14.6     , 28.6     ,          ,          , 5.4      ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         
 , 2/8/1999 24:00 AM         , 0.35     , 1.7      , 9.1      , 33.1     ,          ,          , 5.8      ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         
 , 2/9/1999 24:00 AM         , 0.69     , 15.1     , 35.3     , 7.3      ,          ,          , 10.4     ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         
 , 2/10/1999 24:00 AM        , 0.63     , 20.4     , 29.0     , 11.5     ,          ,          , 9.8      ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         
 , 2/11/1999 24:00 AM        , 0.51     , 11.6     , 27.0     , 15.9     ,          ,          , 9.8      ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         
 , 2/12/1999 24:00 AM        , 0.73     , 32.3     , 37.8     , 7.9      ,          ,          , 16.0     ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         
 , 2/13/1999 24:00 AM        , 0.51     , 15.7     , 19.1     , 23.5     ,          ,          , 9.8      ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         
 , 2/14/1999 24:00 AM        , 0.79     , 38.0     , 31.1     , 7.9      ,          ,          , 13.3     ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         
 , 2/15/1999 24:00 AM        , 0.47     , 11.1     , 25.8     , 14.2     ,          ,          , 10.0     ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         
 , 2/16/1999 24:00 AM        , 0.40     , 2.5      , 18.4     , 24.2     ,          ,          , 6.6      ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         
 , 2/17/1999 24:00 AM        , 0.37     , 4.5      , 14.8     , 28.6     ,          ,          , 9.0      ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         
 , 2/18/1999 24:00 AM        , 0.53     , 9.3      , 25.8     , 15.9     ,          ,          , 8.6      ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         
 , 2/19/1999 24:00 AM        , 0.74     , 24.2     , 28.0     , 15.1     ,          ,          , 10.9     ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         
 , 2/20/1999 24:00 AM        , 0.43     , 3.7      , 20.1     , 21.0     ,          ,          , 7.4      ,          ,          ,          ,          ,          ,          ,          ,          ,          ,         
