Station:Vancouver International Airport #2 -  , Date Time                 , CO       , NO       , NO2      , O3       , PM25     , SO2      , PM10     , WSPD_SCLR , WDIR_SCLR , WSPD_VECT , WDIR_VECT , TEMP_MEAN , ATM_PRESS_1HR , HUMIDITY , RAD_TOTAL , PRECIP_TOTAL , NOx     
 ,                           , ppm      , ppb      , ppb      , ppb      , ug/m3    , ppb      , ug/m3    , m/s      , Deg.     , m/s      , Deg.     , °C       , kPa      , % RH     , W/M**2   , mm       , ppb     
 , 2/5/2017 24:00 AM         , 0.26     , 1.8      , 19.8     , 17.4     , 5.9      , 0.0      , 5.6      , 9.65     , 100.8    , 9.27     , 100.5    , -0.2     , 99.4     , 89.4     , 16.2     , 2.2      , 21.1    
 , 2/6/2017 24:00 AM         , 0.24     , 3.3      , 21.3     , 19.0     , 6.1      , 0.1      , 8.2      , 5.02     , 124.2    , 4.78     , 124.1    , -1.9     , 99.3     , 86.3     , 45.6     , 1.0      , 24.1    
 , 2/7/2017 24:00 AM         , 0.30     , 10.4     , 28.1     , 13.8     , 6.1      , 0.2      , 9.1      , 7.48     , 132.2    , 6.99     , 132.6    , -1.5     , 100.3    , 77.7     , 81.8     , 4.0      , 37.9    
 , 2/8/2017 24:00 AM         , 0.37     , 19.8     , 40.5     , 5.0      , 10.1     , 0.2      , 10.5     , 5.42     , 129.6    , 4.73     , 123.7    , -2.4     , 100.5    , 81.4     , 24.7     , 0.0      , 59.7    
 , 2/9/2017 24:00 AM         , 0.44     , 28.9     , 36.9     , 6.3      , 8.4      , 0.2      , 8.0      , 7.83     , 130.0    , 6.59     , 133.2    , 3.1      , 98.7     , 93.5     , 43.5     , 62.0     , 65.3    
 , 2/10/2017 24:00 AM        , 0.25     , 3.1      , 18.7     , 23.7     , 3.2      , 0.1      , 8.7      , 13.93    , 149.8    , 13.32    , 150.5    , 5.4      , 100.0    , 82.5     , 33.2     , 4.0      , 21.3    
 , 2/11/2017 24:00 AM        , 0.37     , 13.7     , 29.6     , 11.0     , 9.5      , 0.2      , 11.6     , 7.73     , 88.9     , 7.50     , 88.9     , 4.2      , 102.4    , 85.1     , 63.3     , 0.0      , 42.8    
 , 2/12/2017 24:00 AM        , 0.35     , 15.6     , 27.3     , 7.1      , 9.0      , 0.5      , 8.4      , 5.87     , 178.5    , 5.33     , 172.2    , 4.2      , 102.5    , 84.5     , 103.7    , 0.0      , 42.3    
 , 2/13/2017 24:00 AM        , 0.50     , 40.5     , 27.7     , 6.9      , 7.3      , 0.4      , 10.2     , 5.24     , 195.8    , 4.06     , 200.2    , 4.1      , 101.9    , 87.9     , 107.3    , 0.0      , 67.7    
